Deployment_Type,Version_Control_Method,Model_Size_MB,Compression_Method,Performance_Score,Latency_ms
Edge,Git,10,Pruning,0.231153813,78
Cloud,Git,97,Distillation,0.278745817,12
Edge,Git,55,None,0.499582921,46
Edge,Mercurial,51,Distillation,0.710129343,78
Edge,Mercurial,11,Pruning,0.749772889,14
Cloud,SVN,35,None,0.746316098,50
Edge,Git,14,None,0.605632431,14
Edge,Git,60,Pruning,0.893336238,7
Cloud,SVN,47,Distillation,0.563432607,56
Cloud,SVN,69,None,0.847384371,97
Edge,Mercurial,95,Quantization,0.033155001,74
Cloud,Git,30,None,0.744611574,17
Edge,Git,58,Pruning,0.92402756,16
Edge,Mercurial,19,None,0.261519246,94
Edge,SVN,76,Pruning,0.299218443,76
Edge,SVN,72,Distillation,0.182463687,88
Edge,SVN,72,Quantization,0.534955593,59
Edge,Mercurial,99,Pruning,0.07599444,61
Cloud,Git,8,Distillation,0.953047848,17
Edge,Git,55,Distillation,0.530045448,53
Edge,SVN,69,Quantization,0.518591793,88
Edge,Mercurial,63,Pruning,0.483262265,69
Cloud,Mercurial,3,Distillation,0.302664649,63
Edge,Mercurial,95,Quantization,0.462283549,85
Cloud,SVN,28,None,0.140603193,91
Edge,SVN,75,Quantization,0.738081707,12
Cloud,Mercurial,30,None,0.866366193,25
Edge,Git,79,Quantization,0.917988976,11
Cloud,Mercurial,8,None,0.295540379,20
Edge,Mercurial,65,Distillation,0.666733643,35
Edge,Git,69,Distillation,0.02072423,64
Cloud,SVN,35,Distillation,0.688160858,25
Cloud,SVN,19,Pruning,0.408452481,78
Cloud,Mercurial,2,Pruning,0.664641688,40
Cloud,SVN,2,None,0.421083349,95
Cloud,Mercurial,89,Pruning,0.213005884,84
Edge,Mercurial,5,None,0.431355848,48
Edge,Mercurial,54,Pruning,0.304697969,62
Edge,Git,87,Pruning,0.031024741,48
Edge,Git,56,None,0.386780321,75
Edge,Git,15,None,0.403090335,15
Edge,SVN,47,Distillation,0.771028168,60
Edge,Git,76,Quantization,0.828275632,67
Edge,Mercurial,8,Pruning,0.919847539,15
Edge,Git,76,None,0.628007335,21
Edge,SVN,65,Quantization,0.77393524,38
Edge,Git,53,Distillation,0.228345296,25
Edge,Mercurial,85,None,0.265223009,78
Edge,Git,51,None,0.822780939,80
Edge,Mercurial,10,Distillation,0.043300881,41
Edge,Git,51,Distillation,0.133663265,48
Edge,SVN,44,Distillation,0.290174375,62
